t,state,x,y,z,qw,qx,qy,qz,vx,vy,vz,fx,fy,fz
12.795,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.895,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
13.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
13.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.795,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.895,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
14.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
14.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
14.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
14.795,TAKEOFF,-4.0,-4.0,0.137,1.0,0.0,0.0,-0.0,0.0,0.0,0.267,0.0,0.0,0.0
14.895,TAKEOFF,-4.0,-4.0,0.243,1.0,0.0,0.0,-0.0,0.0,0.0,1.616,0.0,0.0,0.0
14.995,TAKEOFF,-4.0,-4.0,0.434,1.0,0.0,0.0,-0.0,0.0,0.0,2.074,0.0,0.0,0.0
15.095,TAKEOFF,-4.0,-4.0,0.644,1.0,0.0,0.0,-0.0,0.0,0.0,2.067,0.0,0.0,0.0
15.195,TAKEOFF,-4.0,-4.0,0.84,1.0,0.0,0.0,-0.0,0.0,0.0,1.849,0.0,0.0,0.0
15.295,TAKEOFF,-4.0,-4.0,1.01,1.0,0.0,0.0,-0.0,0.0,0.0,1.556,0.0,0.0,0.0
15.395,TAKEOFF,-4.0,-4.0,1.15,1.0,0.0,0.0,-0.0,0.0,-0.0,1.26,0.0,0.0,0.0
15.495,TAKEOFF,-4.0,-4.0,1.262,1.0,0.0,0.0,-0.0,0.0,-0.0,0.993,0.0,0.0,0.0
15.595,TAKEOFF,-4.0,-4.0,1.349,1.0,0.0,0.0,-0.0,0.0,-0.0,0.767,0.0,0.0,0.0
15.695,TAKEOFF,-4.0,-4.0,1.415,1.0,0.0,0.0,-0.0,0.0,-0.0,0.583,0.0,0.0,0.0
15.795,TAKEOFF,-4.0,-4.0,1.466,1.0,0.0,0.0,-0.0,0.0,-0.0,0.436,0.0,0.0,0.0
15.895,TAKEOFF,-4.0,-4.0,1.503,1.0,0.0,0.0,-0.0,0.0,-0.0,0.323,0.0,0.0,0.0
15.995,TAKEOFF,-4.0,-4.0,1.531,1.0,0.0,0.0,-0.0,0.0,-0.0,0.236,0.0,0.0,0.0
16.095,HOVER,-4.0,-4.0,1.551,1.0,0.0,0.0,-0.0,0.0,-0.0,0.17,0.0,0.0,0.0
16.195,HOVER,-4.0,-4.0,1.565,1.0,0.0,0.0,-0.0,0.0,-0.0,0.12,0.0,0.0,0.0
16.295,HOVER,-4.0,-4.0,1.575,1.0,0.0,0.0,-0.0,0.0,-0.0,0.084,0.0,0.0,0.0
16.395,HOVER,-4.0,-4.0,1.582,1.0,0.0,0.0,-0.0,0.0,-0.0,0.056,0.0,0.0,0.0
16.495,HOVER,-4.0,-4.0,1.586,1.0,0.0,0.0,-0.0,0.0,-0.0,0.037,0.0,0.0,0.0
16.595,HOVER,-4.0,-4.0,1.589,1.0,0.0,0.0,-0.0,0.0,-0.0,0.022,0.0,0.0,0.0
16.695,HOVER,-4.0,-4.0,1.591,1.0,0.0,0.0,-0.0,0.0,-0.0,0.011,0.0,0.0,0.0
16.795,HOVER,-4.0,-4.0,1.591,1.0,0.0,0.0,-0.0,0.0,-0.0,0.004,0.0,0.0,0.0
16.895,HOVER,-4.0,-4.0,1.592,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.002,0.0,0.0,0.0
16.995,HOVER,-4.0,-4.0,1.591,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.006,0.0,0.0,0.0
17.095,HOVER,-4.0,-4.0,1.59,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.008,0.0,0.0,0.0
17.195,HOVER,-4.0,-4.0,1.589,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.01,0.0,0.0,0.0
17.295,HOVER,-4.0,-4.0,1.588,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.012,0.0,0.0,0.0
17.395,HOVER,-4.0,-4.0,1.587,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.013,0.0,0.0,0.0
17.495,HOVER,-4.0,-4.0,1.586,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.013,0.0,0.0,0.0
17.595,HOVER,-4.0,-4.0,1.585,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.013,0.0,0.0,0.0
17.695,HOVER,-4.0,-4.0,1.583,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.014,0.0,0.0,0.0
17.795,HOVER,-4.0,-4.0,1.582,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.014,0.0,0.0,0.0
17.895,HOVER,-4.0,-4.0,1.58,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.014,0.0,0.0,0.0
17.995,HOVER,-4.0,-4.0,1.579,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.014,0.0,0.0,0.0
18.095,HOVER,-4.0,-4.0,1.578,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.013,0.0,0.0,0.0
18.195,HOVER,-4.0,-4.0,1.576,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.013,0.0,0.0,0.0
18.295,HOVER,-4.0,-4.0,1.575,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.013,0.0,0.0,0.0
18.395,HOVER,-4.0,-4.0,1.574,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.013,0.0,0.0,0.0
18.495,HOVER,-4.0,-4.0,1.573,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.013,0.0,0.0,0.0
18.595,HOVER,-4.0,-4.0,1.571,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.012,0.0,0.0,0.0
18.695,HOVER,-4.0,-4.0,1.57,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.012,0.0,0.0,0.0
18.795,HOVER,-4.0,-4.0,1.569,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.012,0.0,0.0,0.0
18.895,HOVER,-4.0,-4.0,1.568,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.012,0.0,0.0,0.0
18.995,HOVER,-4.0,-4.0,1.566,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.012,0.0,0.0,0.0
